"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","10/260","36/6790",6.00884212641206e-07,2.44177493682381e-05,2.25403455842443e-05,"ND5/NDUFS5/ND2/ND4L/ND3/ND4/NDUFA1/ND6/ND1/NDUFB7",10
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","10/260","44/6790",4.4717940815303e-06,0.000166574329537004,0.000153766954382446,"ND5/NDUFS5/ND2/ND4L/ND3/ND4/NDUFA1/ND6/ND1/NDUFB7",10
"GO:0009055","GO:0009055","electron transfer activity","14/260","91/6790",7.80090613851071e-06,0.000268231157224176,0.000247607709011838,"COX2/COX1/ND5/NDUFS5/COX3/ND2/ND4L/CYTB/ND3/ND4/NDUFA1/ND6/ND1/NDUFB7",14
"GO:0023026","GO:0023026","MHC class II protein complex binding","7/260","24/6790",2.20174370162326e-05,0.000702985310446854,0.000648934985741592,"B2M/HLA-DRA/HLA-DRB1/HLA-DRB5/HSP90AA1/HLA-DPA1/ATP1B1",7
"GO:0019843","GO:0019843","rRNA binding","9/260","46/6790",4.89165831838609e-05,0.00142984353315919,0.00131990737077217,"RPL8/RPL5/RPL11/RPL12/RPS18/RPS4X/RPS13/RPS9/RPS3",9
"GO:0023023","GO:0023023","MHC protein complex binding","7/260","27/6790",5.11800817238188e-05,0.00142984353315919,0.00131990737077217,"B2M/HLA-DRA/HLA-DRB1/HLA-DRB5/HSP90AA1/HLA-DPA1/ATP1B1",7
"GO:0016651","GO:0016651","oxidoreductase activity, acting on NAD(P)H","10/260","58/6790",5.85614170932604e-05,0.00153982079062867,0.00142142882356397,"ND5/NDUFS5/ND2/ND4L/ND3/ND4/NDUFA1/ND6/ND1/NDUFB7",10
"GO:0022804","GO:0022804","active transmembrane transporter activity","18/260","185/6790",0.000236593350838385,0.00587540154581988,0.00542366044027174,"COX2/COX1/ND5/SLC25A6/NDUFS5/COX3/ND2/ND4L/CYTB/TAPBP/ND3/ND4/NDUFA1/ND6/ND1/ATP5F1B/ATP1B1/NDUFB7",18
"GO:0044548","GO:0044548","S100 protein binding","4/260","12/6790",0.000815299842655998,0.0183987915983795,0.0169841665055099,"S100A6/AGER/S100A11/EZR",4
"GO:0048306","GO:0048306","calcium-dependent protein binding","8/260","53/6790",0.000823212152052775,0.0183987915983795,0.0169841665055099,"S100A10/S100A6/S100P/S100A4/ANXA1/S100A11/S100A9/S100A14",8
"GO:0042288","GO:0042288","MHC class I protein binding","4/260","13/6790",0.00114245734941297,0.0243180207232189,0.0224482847603952,"TAPBP/TUBB4B/ATP5F1B/HLA-E",4
"GO:0005215","GO:0005215","transporter activity","31/260","472/6790",0.00203440162873502,0.0413353421838434,0.0381571980126377,"COX2/COX1/ND5/SLC25A6/NDUFS5/COX3/ND2/ND4L/ATP6/CYTB/TAPBP/ND3/S100A6/ND4/NDUFA1/SLC39A7/SFTPA1/FABP4/APOE/SCNN1A/SCNN1B/ND6/ND1/ATP8/ATP5F1B/NPC2/AQP1/SLC22A31/ATP1B1/NDUFB7/AQP5",31
"GO:0016491","GO:0016491","oxidoreductase activity","26/260","384/6790",0.00310709278474085,0.0603856728164852,0.0557428087697214,"COX2/COX1/ND5/PDIA4/GAPDH/PGK1/NDUFS5/COX3/ND2/ND4L/CYTB/LDHA/ND3/ND4/GSTP1/NDUFA1/ALOX5AP/HBA2/GPX1/ND6/ND1/ALOX15B/PRDX1/AKR1B10/NDUFB7/PDIA3",26
"GO:0005504","GO:0005504","fatty acid binding","5/260","28/6790",0.0037755546272986,0.0703197049334365,0.0649130444693444,"GSTP1/FABP4/ALOX5AP/S100A9/CRABP2",5
"GO:0016209","GO:0016209","antioxidant activity","7/260","54/6790",0.00422587618733815,0.074475437148877,0.068749255533639,"GSTP1/ALOX5AP/APOE/HBA2/GPX1/S100A9/PRDX1",7
"GO:0033293","GO:0033293","monocarboxylic acid binding","6/260","41/6790",0.0043319046216349,0.074475437148877,0.068749255533639,"PSAP/GSTP1/FABP4/ALOX5AP/S100A9/CRABP2",6
"GO:0022857","GO:0022857","transmembrane transporter activity","27/260","415/6790",0.00450098689094608,0.0745163385278851,0.0687870121345365,"COX2/COX1/ND5/SLC25A6/NDUFS5/COX3/ND2/ND4L/ATP6/CYTB/TAPBP/ND3/S100A6/ND4/NDUFA1/SLC39A7/SCNN1A/SCNN1B/ND6/ND1/ATP8/ATP5F1B/AQP1/SLC22A31/ATP1B1/NDUFB7/AQP5",27
"GO:0031386","GO:0031386","protein tag","3/260","10/6790",0.00545210106442047,0.0870388991355696,0.0803467525283016,"ISG15/RPS27A/UBC",3
"GO:0004601","GO:0004601","peroxidase activity","5/260","34/6790",0.00887031167607834,0.12791787775516,0.118082675332681,"GSTP1/ALOX5AP/HBA2/GPX1/PRDX1",5
"GO:0042287","GO:0042287","MHC protein binding","4/260","22/6790",0.00891087806856226,0.12791787775516,0.118082675332681,"TAPBP/TUBB4B/ATP5F1B/HLA-E",4
"GO:0042277","GO:0042277","peptide binding","12/260","145/6790",0.00943470631268308,0.12791787775516,0.118082675332681,"HLA-DRA/HLA-B/HLA-A/HLA-C/HLA-DRB1/TAPBP/AGER/APOE/HLA-DRB5/PGRMC1/HLA-DPA1/HLA-E",12
"GO:0004190","GO:0004190","aspartic-type endopeptidase activity","3/260","12/6790",0.00944360171346822,0.12791787775516,0.118082675332681,"PGC/NAPSA/CTSE",3
"GO:0070001","GO:0070001","aspartic-type peptidase activity","3/260","12/6790",0.00944360171346822,0.12791787775516,0.118082675332681,"PGC/NAPSA/CTSE",3
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","5/260","35/6790",0.0100329895936827,0.131904304364005,0.121762598164818,"GSTP1/ALOX5AP/HBA2/GPX1/PRDX1",5
"GO:0015252","GO:0015252","proton channel activity","3/260","13/6790",0.0119339450226848,0.148179817365003,0.136786738271709,"ATP6/ATP8/ATP5F1B",3
"GO:0046933","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","3/260","13/6790",0.0119339450226848,0.148179817365003,0.136786738271709,"ATP6/ATP8/ATP5F1B",3
"GO:0015078","GO:0015078","proton transmembrane transporter activity","7/260","71/6790",0.0183451743280814,0.221629538504118,0.204589141866512,"COX2/COX1/COX3/ATP6/CYTB/ATP8/ATP5F1B",7
"GO:0050839","GO:0050839","cell adhesion molecule binding","23/260","381/6790",0.0195729445347783,0.230239637027523,0.212537237053548,"TAGLN2/ENO1/SPP1/LDHA/COL3A1/BSG/FGA/CPE/ISG15/S100P/FGG/RPS2/KRT18/HSPA5/ANXA1/RACK1/S100A11/PFN1/PRDX1/BCAM/RPL7A/EZR/YWHAZ",23
"GO:0033218","GO:0033218","amide binding","13/260","180/6790",0.0203592632188989,0.233348478431995,0.215407049441521,"HLA-DRA/HLA-B/PSAP/HLA-A/HLA-C/HLA-DRB1/TAPBP/AGER/APOE/HLA-DRB5/PGRMC1/HLA-DPA1/HLA-E",13
"GO:0004602","GO:0004602","glutathione peroxidase activity","3/260","16/6790",0.0214716071825015,0.234092888062882,0.216094223762274,"GSTP1/ALOX5AP/GPX1",3
"GO:0055106","GO:0055106","ubiquitin-protein transferase regulator activity","3/260","16/6790",0.0214716071825015,0.234092888062882,0.216094223762274,"RPL5/RPL11/RPS20",3
"GO:0098631","GO:0098631","cell adhesion mediator activity","5/260","43/6790",0.0232464513851786,0.24740866117083,0.228386189047369,"BSG/KRT18/ANXA1/S100A11/BCAM",5
"GO:0004129","GO:0004129","cytochrome-c oxidase activity","3/260","17/6790",0.0253506253263313,0.257539307292502,0.237737921720619,"COX2/COX1/COX3",3
"GO:0098641","GO:0098641","cadherin binding involved in cell-cell adhesion","3/260","17/6790",0.0253506253263313,0.257539307292502,0.237737921720619,"KRT18/ANXA1/S100A11",3
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","12/260","170/6790",0.0295559352430755,0.27546405045812,0.254284487883158,"RPL5/RPL11/ISG15/HSPA5/TPI1/HSP90AA1/ELOB/RPS27A/ACTG1/TRIM28/UBC/YWHAZ",12
"GO:0005154","GO:0005154","epidermal growth factor receptor binding","3/260","18/6790",0.0295800322639592,0.27546405045812,0.254284487883158,"ARF4/AGR2/AREG",3
"GO:0016675","GO:0016675","oxidoreductase activity, acting on a heme group of donors","3/260","18/6790",0.0295800322639592,0.27546405045812,0.254284487883158,"COX2/COX1/COX3",3
"GO:0099094","GO:0099094","ligand-gated cation channel activity","3/260","18/6790",0.0295800322639592,0.27546405045812,0.254284487883158,"SCNN1A/SCNN1B/AQP1",3
"GO:0050840","GO:0050840","extracellular matrix binding","5/260","47/6790",0.0327725889791295,0.298966270891242,0.275979696666353,"BGN/SPP1/LGALS3/LGALS1/BCAM",5
"GO:0045296","GO:0045296","cadherin binding","16/260","257/6790",0.0372341317085078,0.33287313747406,0.307279571152317,"TAGLN2/ENO1/LDHA/BSG/S100P/RPS2/KRT18/HSPA5/ANXA1/RACK1/S100A11/PFN1/PRDX1/RPL7A/EZR/YWHAZ",16
"GO:0048027","GO:0048027","mRNA 5'-UTR binding","3/260","20/6790",0.0390794020748114,0.342519465243935,0.316184223185265,"RPL5/RPS13/RPL41",3
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","12/260","180/6790",0.0430255147394112,0.369068564748464,0.340692046111852,"RPL5/RPL11/ISG15/HSPA5/TPI1/HSP90AA1/ELOB/RPS27A/ACTG1/TRIM28/UBC/YWHAZ",12
"GO:0004857","GO:0004857","enzyme inhibitor activity","14/260","221/6790",0.0437598074533973,0.369068564748464,0.340692046111852,"GAPDH/TIMP1/WFDC2/LGALS3/SPINK1/RPL5/RPL11/PEBP1/SCGB1A1/ANXA1/RACK1/HSPB1/RPS20/OAZ1",14
"GO:0098632","GO:0098632","cell-cell adhesion mediator activity","4/260","36/6790",0.0473716788641642,0.392132230597804,0.361982419390885,"BSG/KRT18/ANXA1/S100A11",4
"GO:0001222","GO:0001222","transcription corepressor binding","3/260","22/6790",0.0499346873156913,0.398405790780699,0.367773625305626,"ENO1/ELOB/HDGF",3
"GO:0031406","GO:0031406","carboxylic acid binding","6/260","71/6790",0.0536563219092729,0.398405790780699,0.367773625305626,"PSAP/GSTP1/FABP4/ALOX5AP/S100A9/CRABP2",6
"GO:0050786","GO:0050786","RAGE receptor binding","2/260","10/6790",0.0536590883881299,0.398405790780699,0.367773625305626,"S100A4/S100A9",2
"GO:0051427","GO:0051427","hormone receptor binding","2/260","10/6790",0.0536590883881299,0.398405790780699,0.367773625305626,"FABP4/GNAS",2
"GO:0015276","GO:0015276","ligand-gated ion channel activity","3/260","23/6790",0.055854590285728,0.398405790780699,0.367773625305626,"SCNN1A/SCNN1B/AQP1",3
"GO:0022834","GO:0022834","ligand-gated channel activity","3/260","23/6790",0.055854590285728,0.398405790780699,0.367773625305626,"SCNN1A/SCNN1B/AQP1",3
"GO:0005201","GO:0005201","extracellular matrix structural constituent","8/260","111/6790",0.0620781603795089,0.398405790780699,0.367773625305626,"LUM/AEBP1/BGN/TNC/COL3A1/FGA/FGG/COL1A2",8
"GO:0003756","GO:0003756","protein disulfide isomerase activity","2/260","11/6790",0.0639641021975443,0.398405790780699,0.367773625305626,"PDIA4/PDIA3",2
"GO:0003785","GO:0003785","actin monomer binding","2/260","11/6790",0.0639641021975443,0.398405790780699,0.367773625305626,"TMSB4X/PFN1",2
"GO:0016864","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","2/260","11/6790",0.0639641021975443,0.398405790780699,0.367773625305626,"PDIA4/PDIA3",2
"GO:0031994","GO:0031994","insulin-like growth factor I binding","2/260","11/6790",0.0639641021975443,0.398405790780699,0.367773625305626,"IGFBP5/IGFBP4",2
"GO:0048407","GO:0048407","platelet-derived growth factor binding","2/260","11/6790",0.0639641021975443,0.398405790780699,0.367773625305626,"COL3A1/COL1A2",2
"GO:0055102","GO:0055102","lipase inhibitor activity","2/260","11/6790",0.0639641021975443,0.398405790780699,0.367773625305626,"SCGB1A1/ANXA1",2
"GO:0042379","GO:0042379","chemokine receptor binding","4/260","40/6790",0.0653796928151171,0.398405790780699,0.367773625305626,"CCL2/CCL18/CXCL14/S100A14",4
"GO:0030545","GO:0030545","signaling receptor regulator activity","13/260","214/6790",0.0665404631200435,0.398405790780699,0.367773625305626,"TIMP1/MDK/LY6E/GRN/SPP1/CCL2/LGALS3/CALCA/CCL18/CXCL14/GRP/HDGF/AREG",13
"GO:0015035","GO:0015035","protein-disulfide reductase activity","3/260","25/6790",0.0686380946031233,0.398405790780699,0.367773625305626,"PDIA4/PGK1/PDIA3",3
"GO:0043236","GO:0043236","laminin binding","3/260","25/6790",0.0686380946031233,0.398405790780699,0.367773625305626,"LGALS3/LGALS1/BCAM",3
"GO:0097718","GO:0097718","disordered domain specific binding","3/260","25/6790",0.0686380946031233,0.398405790780699,0.367773625305626,"GAPDH/HSP90AA1/EZR",3
"GO:0003729","GO:0003729","mRNA binding","11/260","174/6790",0.0697801307968315,0.398405790780699,0.367773625305626,"ZFP36L1/RPL5/RPL7/RPS2/RPL13A/RPS13/RPL41/HSP90AA1/YBX1/RPS3/PABPC1",11
"GO:0140375","GO:0140375","immune receptor activity","5/260","58/6790",0.0701023166619284,0.398405790780699,0.367773625305626,"HLA-DRA/HLA-DRB1/PIGR/HLA-DPA1/F3",5
"GO:0048018","GO:0048018","receptor ligand activity","12/260","196/6790",0.0725893658844838,0.398405790780699,0.367773625305626,"TIMP1/MDK/GRN/SPP1/CCL2/LGALS3/CALCA/CCL18/CXCL14/GRP/HDGF/AREG",12
"GO:0005125","GO:0005125","cytokine activity","7/260","96/6790",0.0743386543265969,0.398405790780699,0.367773625305626,"TIMP1/GRN/SPP1/CCL2/CCL18/CXCL14/AREG",7
"GO:0004364","GO:0004364","glutathione transferase activity","2/260","12/6790",0.0748682022943595,0.398405790780699,0.367773625305626,"GSTP1/ALOX5AP",2
"GO:0004536","GO:0004536","deoxyribonuclease activity","2/260","12/6790",0.0748682022943595,0.398405790780699,0.367773625305626,"PLD3/RPS3",2
"GO:0016701","GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","2/260","12/6790",0.0748682022943595,0.398405790780699,0.367773625305626,"ALOX5AP/ALOX15B",2
"GO:0016702","GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","2/260","12/6790",0.0748682022943595,0.398405790780699,0.367773625305626,"ALOX5AP/ALOX15B",2
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","2/260","12/6790",0.0748682022943595,0.398405790780699,0.367773625305626,"LUM/BGN",2
"GO:0030247","GO:0030247","polysaccharide binding","2/260","12/6790",0.0748682022943595,0.398405790780699,0.367773625305626,"HLA-DRA/HLA-DRB1",2
"GO:0080025","GO:0080025","phosphatidylinositol-3,5-bisphosphate binding","2/260","12/6790",0.0748682022943595,0.398405790780699,0.367773625305626,"WDR45B/SNX3",2
"GO:0120020","GO:0120020","cholesterol transfer activity","2/260","12/6790",0.0748682022943595,0.398405790780699,0.367773625305626,"APOE/NPC2",2
"GO:0030546","GO:0030546","signaling receptor activator activity","12/260","200/6790",0.0816371752679215,0.429315498173658,0.396306782724771,"TIMP1/MDK/GRN/SPP1/CCL2/LGALS3/CALCA/CCL18/CXCL14/GRP/HDGF/AREG",12
"GO:0120015","GO:0120015","sterol transfer activity","2/260","13/6790",0.0863107945255731,0.444005232314407,0.409867069509591,"APOE/NPC2",2
"GO:0022890","GO:0022890","inorganic cation transmembrane transporter activity","12/260","202/6790",0.0864171257524685,0.444005232314407,0.409867069509591,"COX2/COX1/COX3/ATP6/CYTB/SLC39A7/SCNN1A/SCNN1B/ATP8/ATP5F1B/AQP1/ATP1B1",12
"GO:0005261","GO:0005261","cation channel activity","6/260","81/6790",0.0892663801806808,0.453432635690503,0.418569629555345,"ATP6/SCNN1A/SCNN1B/ATP8/ATP5F1B/AQP1",6
"GO:0008289","GO:0008289","lipid binding","20/260","383/6790",0.0963301344737524,0.477294043734337,0.440596409146027,"PSAP/GSTP1/PEBP1/FABP4/BPIFB1/ALOX5AP/APOE/ANXA1/PFN1/WDR45B/S100A9/ALOX15B/BPIFA1/PGRMC1/NPC2/CRABP2/PLA2G2A/F3/BPIFB2/SNX3",20
"GO:0015036","GO:0015036","disulfide oxidoreductase activity","3/260","29/6790",0.0977065146683428,0.477294043734337,0.440596409146027,"PDIA4/PGK1/PDIA3",3
"GO:0016860","GO:0016860","intramolecular oxidoreductase activity","3/260","29/6790",0.0977065146683428,0.477294043734337,0.440596409146027,"PDIA4/TPI1/PDIA3",3
"GO:0030332","GO:0030332","cyclin binding","2/260","14/6790",0.09823501571266,0.477294043734337,0.440596409146027,"RACK1/CRABP2",2
"GO:0008009","GO:0008009","chemokine activity","3/260","30/6790",0.105640092489535,0.505992209743086,0.467088063627198,"CCL2/CCL18/CXCL14",3
"GO:0016829","GO:0016829","lyase activity","6/260","85/6790",0.106405520617114,0.505992209743086,0.467088063627198,"RNASE1/ENO1/TPI1/ALOX5AP/RPS3/ODC1",6
"GO:0035254","GO:0035254","glutamate receptor binding","2/260","15/6790",0.110587538550777,0.520343470865235,0.480335901516949,"ND2/GNAS",2
"GO:0005520","GO:0005520","insulin-like growth factor binding","2/260","16/6790",0.123318385889102,0.568281633942563,0.524588250336712,"IGFBP5/IGFBP4",2
"GO:0046875","GO:0046875","ephrin receptor binding","2/260","16/6790",0.123318385889102,0.568281633942563,0.524588250336712,"EFNA1/AQP1",2
"GO:0002020","GO:0002020","protease binding","6/260","91/6790",0.135045855704078,0.615974464282886,0.568614129280328,"TIMP1/PSAP/COL3A1/UBC/F3/COL1A2",6
"GO:0051082","GO:0051082","unfolded protein binding","5/260","73/6790",0.146836876178239,0.64433556956801,0.594794638574497,"TAPBP/HSPA5/HSPB1/HSP90AA1/TUBB4B",5
"GO:0015318","GO:0015318","inorganic molecular entity transmembrane transporter activity","13/260","246/6790",0.148658435149549,0.64433556956801,0.594794638574497,"COX2/COX1/COX3/ATP6/CYTB/SLC39A7/SCNN1A/SCNN1B/ATP8/ATP5F1B/AQP1/ATP1B1/AQP5",13
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","3/260","35/6790",0.148720090401329,0.64433556956801,0.594794638574497,"PDIA4/PGK1/PDIA3",3
"GO:0015248","GO:0015248","sterol transporter activity","2/260","18/6790",0.149730844176661,0.64433556956801,0.594794638574497,"APOE/NPC2",2
"GO:0032266","GO:0032266","phosphatidylinositol-3-phosphate binding","2/260","18/6790",0.149730844176661,0.64433556956801,0.594794638574497,"WDR45B/SNX3",2
"GO:0043177","GO:0043177","organic acid binding","4/260","54/6790",0.151127778238208,0.64433556956801,0.594794638574497,"ALOX5AP/HBA2/S100A9/CRABP2",4
"GO:0008083","GO:0008083","growth factor activity","5/260","74/6790",0.152894782020415,0.64433556956801,0.594794638574497,"TIMP1/MDK/GRN/HDGF/AREG",5
"GO:0008324","GO:0008324","cation transmembrane transporter activity","12/260","225/6790",0.153608255336287,0.64433556956801,0.594794638574497,"COX2/COX1/COX3/ATP6/CYTB/SLC39A7/SCNN1A/SCNN1B/ATP8/ATP5F1B/AQP1/ATP1B1",12
"GO:0030246","GO:0030246","carbohydrate binding","8/260","137/6790",0.154236926048718,0.64433556956801,0.594794638574497,"HLA-DRA/HLA-DRB1/LGALS3/BSG/LGALS4/SFTPA1/SFTPA2/LGALS1",8
"GO:0097110","GO:0097110","scaffold protein binding","3/260","36/6790",0.157933582359254,0.653669549209133,0.603410957941787,"PSAP/KRT18/HSP90AA1",3
"GO:0045182","GO:0045182","translation regulator activity","5/260","78/6790",0.178125588295415,0.730478329982113,0.674314153662989,"EEF1A1/EIF1/RPS9/RPL10/PABPC1",5
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","4/260","58/6790",0.181001128655254,0.735522768262715,0.678970740984303,"KRT19/HLA-DRB1/TUBB4B/ACTG1",4
"GO:0022853","GO:0022853","active ion transmembrane transporter activity","7/260","122/6790",0.186296380007069,0.737947494381015,0.681209037554122,"COX2/COX1/SLC25A6/COX3/CYTB/ATP5F1B/ATP1B1",7
"GO:0016835","GO:0016835","carbon-oxygen lyase activity","3/260","39/6790",0.186550485156722,0.737947494381015,0.681209037554122,"ENO1/TPI1/RPS3",3
"GO:0044183","GO:0044183","protein folding chaperone","3/260","39/6790",0.186550485156722,0.737947494381015,0.681209037554122,"HSPA5/HSPB1/HSP90AA1",3
"GO:0048156","GO:0048156","tau protein binding","2/260","21/6790",0.191111231717413,0.742841048501596,0.685726341722891,"APOE/HSP90AA1",2
"GO:0050699","GO:0050699","WW domain binding","2/260","21/6790",0.191111231717413,0.742841048501596,0.685726341722891,"SCNN1A/SCNN1B",2
"GO:0003730","GO:0003730","mRNA 3'-UTR binding","4/260","61/6790",0.204585626243453,0.78407959070462,0.72379418240012,"ZFP36L1/RPL5/RPL41/PABPC1",4
"GO:0048020","GO:0048020","CCR chemokine receptor binding","2/260","22/6790",0.205228886157585,0.78407959070462,0.72379418240012,"CCL2/CCL18",2
"GO:0016765","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","2/260","23/6790",0.219455009573952,0.831325332877599,0.767407348376354,"GSTP1/ALOX5AP",2
"GO:0015267","GO:0015267","channel activity","7/260","129/6790",0.224456446567055,0.843126316096418,0.778300991192266,"ATP6/SCNN1A/SCNN1B/ATP8/ATP5F1B/AQP1/AQP5",7
"GO:0015081","GO:0015081","sodium ion transmembrane transporter activity","3/260","43/6790",0.226543649106821,0.843875092922909,0.778992196928719,"SCNN1A/SCNN1B/ATP1B1",3
"GO:0022803","GO:0022803","passive transmembrane transporter activity","7/260","130/6790",0.23012225385237,0.85012105348768,0.78475792527298,"ATP6/SCNN1A/SCNN1B/ATP8/ATP5F1B/AQP1/AQP5",7
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","2/260","24/6790",0.233760732925875,0.856483996867754,0.790631641992605,"COL3A1/COL1A2",2
"GO:0001540","GO:0001540","amyloid-beta binding","3/260","44/6790",0.236793988744602,0.860544007876725,0.794379491552281,"AGER/APOE/PGRMC1",3
"GO:0005216","GO:0005216","ion channel activity","6/260","109/6790",0.238759163292811,0.860688274128118,0.794512665626333,"ATP6/SCNN1A/SCNN1B/ATP8/ATP5F1B/AQP1",6
"GO:0005506","GO:0005506","iron ion binding","4/260","66/6790",0.245681844946966,0.873301517929291,0.806156116868673,"FTL/HBA2/ALOX15B/LCN2",4
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity","3/260","45/6790",0.247123340783979,0.873301517929291,0.806156116868673,"TAPBP/ATP5F1B/ATP1B1",3
"GO:0140662","GO:0140662","ATP-dependent protein folding chaperone","2/260","25/6790",0.24811922321481,0.873301517929291,0.806156116868673,"HSPA5/HSP90AA1",2
"GO:0015075","GO:0015075","ion transmembrane transporter activity","14/260","298/6790",0.251279892802158,0.877516500645035,0.810047022849061,"COX2/COX1/SLC25A6/COX3/ATP6/CYTB/S100A6/SLC39A7/SCNN1A/SCNN1B/ATP8/ATP5F1B/AQP1/ATP1B1",14
"GO:0004620","GO:0004620","phospholipase activity","3/260","46/6790",0.257521250075673,0.885295362264713,0.817227792317833,"PLD3/PLA2G2A/PDIA3",3
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","2/260","26/6790",0.262505570885125,0.885295362264713,0.817227792317833,"GAPDH/AKR1B10",2
"GO:0043394","GO:0043394","proteoglycan binding","2/260","26/6790",0.262505570885125,0.885295362264713,0.817227792317833,"TNC/APOE",2
