"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019724","GO:0019724","B cell mediated immunity","26/262","135/6818",5.12955932353093e-12,1.44653572923572e-09,1.2993247396542e-09,"IGHG1/IGHG2/B2M/HLA-DRA/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/HLA-DRB1/IGKC/C1QB/HLA-DRB5/IGHV3-23/IGHV3-30/HLA-DPA1/HLA-E/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",26
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","34/262","233/6818",9.12726857543394e-12,2.35939892674967e-09,2.11928771220821e-09,"IGHG1/IGHG2/B2M/MDK/HLA-DRA/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/CCL2/IGKC/TYROBP/AGER/ANXA1/HLA-DRB5/XBP1/IGHV3-23/IGHV3-30/HLA-DPA1/HLA-E/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/LGALS1/IGHD/IGHV3-64D",34
"GO:0006958","GO:0006958","complement activation, classical pathway","20/262","82/6818",1.75642898229102e-11,4.1911097715898e-09,3.76458908188205e-09,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/C1QB/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",20
"GO:0006956","GO:0006956","complement activation","21/262","93/6818",2.64374620367028e-11,5.85778623127514e-09,5.261651279034e-09,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/VSIG4/C1QB/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",21
"GO:0002449","GO:0002449","lymphocyte mediated immunity","31/262","207/6818",4.13945377644826e-11,8.560390409695e-09,7.68921694474283e-09,"IGHG1/IGHG2/B2M/HLA-DRA/IGHV1-18/IGHV3-7/IGHA1/HLA-B/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/IGKC/C1QB/AGER/HLA-DRB5/IGHV3-23/TUBB4B/IGHV3-30/PRDX1/HLA-DPA1/HLA-E/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",31
"GO:0050853","GO:0050853","B cell receptor signaling pathway","19/262","77/6818",4.60421430549522e-11,8.92642048477885e-09,8.01799688595121e-09,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",19
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","35/262","263/6818",6.38165713428129e-11,1.16446473120827e-08,1.04595953154443e-08,"IGHG1/IGHG2/B2M/MDK/HLA-DRA/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/CCL2/IGKC/TYROBP/AGER/ANXA1/HLA-DRB5/XBP1/IGHV3-23/IGHV3-30/HLA-DPA1/HLA-E/VAMP8/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/LGALS1/IGHD/IGHV3-64D",35
"GO:0006518","GO:0006518","peptide metabolic process","49/262","473/6818",7.45984235968475e-11,1.28557949998567e-08,1.1547486974319e-08,"RPS12/GAPDH/ZFP36L1/IGFBP5/RPL8/TAPBP/EEF1A1/RPL5/RPL11/RPL7/GSTP1/CPE/RPL12/RPL27/LGALS4/RPS24/RPL32/RPL31/RPS2/RPS18/RPL19/RPS4X/RPL13A/RPS13/EIF1/RPS21/APOE/RPL41/GPX1/RPS9/RPL10/RACK1/HSPB1/RPS16/FAU/MRPL41/RPS8/EFNA1/RPS25/RPL36AL/RPS27A/RPS20/YBX1/RPL10A/RPS3/KRT17/RPL7A/RPL35A/PABPC1",49
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","20/262","89/6818",8.80389390523336e-11,1.37822181530854e-08,1.23796299335631e-08,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/C1QB/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",20
"GO:0051249","GO:0051249","regulation of lymphocyte activation","38/262","308/6818",8.88602073055153e-11,1.37822181530854e-08,1.23796299335631e-08,"IGHG1/IGHG2/B2M/MDK/ZFP36L1/HLA-DRA/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/CCL2/LGALS3/IGKC/TYROBP/VSIG4/AGER/SCGB1A1/ANXA1/HLA-DRB5/XBP1/IGHV3-23/IGHV3-30/HLA-DPA1/HLA-E/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/LGALS1/IGHD/IGHV3-64D",38
"GO:0008037","GO:0008037","cell recognition","24/262","131/6818",1.06498419571431e-10,1.54172054213237e-08,1.38482278836214e-08,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/LGALS3/IGKC/BSG/SFTPA1/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/PAEP/YWHAZ/IGHD/IGHV3-64D",24
"GO:0006911","GO:0006911","phagocytosis, engulfment","20/262","90/6818",1.09341882420735e-10,1.54172054213237e-08,1.38482278836214e-08,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/IGHV3-23/RAC1/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",20
"GO:0010324","GO:0010324","membrane invagination","21/262","101/6818",1.39765649217625e-10,1.85319551916966e-08,1.66459959253524e-08,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/IGHV3-23/RAC1/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/SNX3/IGHD/IGHV3-64D",21
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","24/262","133/6818",1.48237285428954e-10,1.85319551916966e-08,1.66459959253524e-08,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/LGALS3/IGKC/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/EZR/IGHD/IGHV3-64D",24
"GO:0050867","GO:0050867","positive regulation of cell activation","35/262","271/6818",1.49354893550101e-10,1.85319551916966e-08,1.66459959253524e-08,"IGHG1/IGHG2/B2M/MDK/HLA-DRA/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/CCL2/IGKC/TYROBP/AGER/ANXA1/HLA-DRB5/XBP1/IGHV3-23/IGHV3-30/HLA-DPA1/HLA-E/VAMP8/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/LGALS1/IGHD/IGHV3-64D",35
"GO:0043043","GO:0043043","peptide biosynthetic process","43/262","390/6818",1.80898783871343e-10,2.1582616444958e-08,1.93861976075889e-08,"RPS12/GAPDH/ZFP36L1/IGFBP5/RPL8/EEF1A1/RPL5/RPL11/RPL7/RPL12/RPL27/LGALS4/RPS24/RPL32/RPL31/RPS2/RPS18/RPL19/RPS4X/RPL13A/RPS13/EIF1/RPS21/RPL41/RPS9/RPL10/RACK1/HSPB1/RPS16/FAU/MRPL41/RPS8/RPS25/RPL36AL/RPS27A/RPS20/YBX1/RPL10A/RPS3/KRT17/RPL7A/RPL35A/PABPC1",43
"GO:0050871","GO:0050871","positive regulation of B cell activation","20/262","93/6818",2.05628484291792e-10,2.29533903810318e-08,2.06174706771832e-08,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/XBP1/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",20
"GO:0050865","GO:0050865","regulation of cell activation","43/262","392/6818",2.13488099389342e-10,2.29533903810318e-08,2.06174706771832e-08,"IGHG1/IGHG2/B2M/MDK/ZFP36L1/HLA-DRA/GRN/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/CCL2/LGALS3/IGKC/FGG/TYROBP/VSIG4/AGER/APOE/SCGB1A1/ANXA1/HLA-DRB5/XBP1/IGHV3-23/IGHV3-30/HLA-DPA1/HLA-E/VAMP8/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/LGALS1/PLA2G2A/IGHD/IGHV3-64D",43
"GO:0006412","GO:0006412","translation","42/262","377/6818",2.1913151660921e-10,2.29533903810318e-08,2.06174706771832e-08,"RPS12/GAPDH/ZFP36L1/IGFBP5/RPL8/EEF1A1/RPL5/RPL11/RPL7/RPL12/RPL27/RPS24/RPL32/RPL31/RPS2/RPS18/RPL19/RPS4X/RPL13A/RPS13/EIF1/RPS21/RPL41/RPS9/RPL10/RACK1/HSPB1/RPS16/FAU/MRPL41/RPS8/RPS25/RPL36AL/RPS27A/RPS20/YBX1/RPL10A/RPS3/KRT17/RPL7A/RPL35A/PABPC1",42
"GO:0002694","GO:0002694","regulation of leukocyte activation","41/262","362/6818",2.2198636732139e-10,2.29533903810318e-08,2.06174706771832e-08,"IGHG1/IGHG2/B2M/MDK/ZFP36L1/HLA-DRA/GRN/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/CCL2/LGALS3/IGKC/TYROBP/VSIG4/AGER/SCGB1A1/ANXA1/HLA-DRB5/XBP1/IGHV3-23/IGHV3-30/HLA-DPA1/HLA-E/VAMP8/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/LGALS1/PLA2G2A/IGHD/IGHV3-64D",41
"GO:0099024","GO:0099024","plasma membrane invagination","20/262","96/6818",3.76697229455652e-10,3.76940259926268e-08,3.38579818801056e-08,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/IGHV3-23/RAC1/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",20
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","30/262","214/6818",4.63804606790569e-10,4.38885787102187e-08,3.94221276072988e-08,"IGHG1/IGHG2/B2M/HLA-DRA/IGHV1-18/IGHV3-7/IGHA1/HLA-B/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/IGKC/C1QB/AGER/ANXA1/HLA-DRB5/IGHV3-23/IGHV3-30/HLA-DPA1/HLA-E/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",30
"GO:0050864","GO:0050864","regulation of B cell activation","22/262","118/6818",4.66899773512965e-10,4.38885787102187e-08,3.94221276072988e-08,"IGHG1/IGHG2/ZFP36L1/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/TYROBP/XBP1/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",22
"GO:0006754","GO:0006754","ATP biosynthetic process","17/262","69/6818",5.13699177388558e-10,4.68674955370385e-08,4.20978861469819e-08,"COX2/ND5/NDUFS5/ENO1/ND2/ND4L/ATP6/ND3/ND4/H19/NDUFA1/TMSB4X/ND6/ND1/ATP8/ATP5F1B/NDUFB7",17
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","26/262","169/6818",9.46515378799861e-10,8.38883058582049e-08,7.53511641408491e-08,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/LGALS3/IGKC/TYROBP/PIGR/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/EZR/IGHD/IGHV3-64D",26
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","17/262","73/6818",1.32528241435305e-09,1.14195168036755e-07,1.02573758795103e-07,"COX2/ND5/NDUFS5/ENO1/ND2/ND4L/ATP6/ND3/ND4/H19/NDUFA1/TMSB4X/ND6/ND1/ATP8/ATP5F1B/NDUFB7",17
"GO:0046034","GO:0046034","ATP metabolic process","22/262","125/6818",1.4750541703059e-09,1.23665352332133e-07,1.11080181758171e-07,"COX2/ND5/GAPDH/PGK1/NDUFS5/ENO1/ND2/ND4L/ATP6/LDHA/ND3/ND4/H19/NDUFA1/TPI1/TMSB4X/ND6/ND1/ATP8/ATP5F1B/ATP1B1/NDUFB7",22
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","17/262","74/6818",1.66194701761044e-09,1.3566735917441e-07,1.21860768853596e-07,"COX2/ND5/NDUFS5/ENO1/ND2/ND4L/ATP6/ND3/ND4/H19/NDUFA1/TMSB4X/ND6/ND1/ATP8/ATP5F1B/NDUFB7",17
"GO:0050778","GO:0050778","positive regulation of immune response","36/262","311/6818",1.76214417201824e-09,1.40158236451297e-07,1.25894618713422e-07,"IGHG1/IGHG2/B2M/HLA-DRA/IGHV1-18/IGHV3-7/IGHA1/HLA-B/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/LGALS3/IGKC/PGC/TYROBP/VSIG4/C1QB/ANXA1/HSP90AA1/XBP1/IGHV3-23/IGHV3-30/HLA-E/VAMP8/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/EZR/IGHD/IGHV3-64D",36
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","25/262","163/6818",2.1682876446026e-09,1.64049470086762e-07,1.47354490250657e-07,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/LGALS3/IGKC/TYROBP/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/EZR/IGHD/IGHV3-64D",25
"GO:0002757","GO:0002757","immune response-activating signal transduction","25/262","163/6818",2.1682876446026e-09,1.64049470086762e-07,1.47354490250657e-07,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/LGALS3/IGKC/TYROBP/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/EZR/IGHD/IGHV3-64D",25
"GO:0050776","GO:0050776","regulation of immune response","46/262","472/6818",2.39274346995262e-09,1.76721196280786e-07,1.58736640725929e-07,"IGHG1/IGHG2/B2M/HLA-DRA/GRN/IGHV1-18/IGHV3-7/IGHA1/HLA-B/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/TAPBP/LGALS3/IGKC/COL3A1/ISG15/PGC/TYROBP/VSIG4/C1QB/AGER/BPIFB1/APOE/GPX1/ANXA1/HSP90AA1/XBP1/PIGR/IGHV3-23/IGHV3-30/HLA-E/VAMP8/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/S100A14/RPS3/EZR/IGHD/IGHV3-64D",46
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","17/262","76/6818",2.5829478329622e-09,1.86332655298808e-07,1.67369961171382e-07,"COX2/ND5/NDUFS5/ENO1/ND2/ND4L/ATP6/ND3/ND4/H19/NDUFA1/TMSB4X/ND6/ND1/ATP8/ATP5F1B/NDUFB7",17
"GO:0002253","GO:0002253","activation of immune response","28/262","211/6818",6.49901016999205e-09,4.58180216984439e-07,4.11552151195429e-07,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/LGALS3/IGKC/TYROBP/VSIG4/C1QB/HSP90AA1/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/RPS3/EZR/IGHD/IGHV3-64D",28
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process","17/262","81/6818",7.29908408106993e-09,5.0315019598842e-07,4.51945627195137e-07,"COX2/ND5/NDUFS5/ENO1/ND2/ND4L/ATP6/ND3/ND4/H19/NDUFA1/TMSB4X/ND6/ND1/ATP8/ATP5F1B/NDUFB7",17
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","22/262","138/6818",1.00883241113515e-08,6.80303943335051e-07,6.11070799147538e-07,"COX2/ND5/GAPDH/PGK1/NDUFS5/ENO1/ND2/ND4L/ATP6/LDHA/ND3/ND4/H19/NDUFA1/TPI1/TMSB4X/ND6/ND1/ATP8/ATP5F1B/ATP1B1/NDUFB7",22
"GO:0043604","GO:0043604","amide biosynthetic process","43/262","446/6818",1.20420097290112e-08,7.94772642114742e-07,7.13890252019994e-07,"RPS12/GAPDH/ZFP36L1/IGFBP5/RPL8/EEF1A1/RPL5/RPL11/RPL7/RPL12/RPL27/LGALS4/RPS24/RPL32/RPL31/RPS2/RPS18/RPL19/RPS4X/RPL13A/RPS13/EIF1/RPS21/RPL41/RPS9/RPL10/RACK1/HSPB1/RPS16/FAU/MRPL41/RPS8/RPS25/RPL36AL/RPS27A/RPS20/YBX1/RPL10A/RPS3/KRT17/RPL7A/RPL35A/PABPC1",43
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process","22/262","141/6818",1.51869228299407e-08,9.81454887884917e-07,8.81574226553794e-07,"COX2/ND5/GAPDH/PGK1/NDUFS5/ENO1/ND2/ND4L/ATP6/LDHA/ND3/ND4/H19/NDUFA1/TPI1/TMSB4X/ND6/ND1/ATP8/ATP5F1B/ATP1B1/NDUFB7",22
"GO:0006909","GO:0006909","phagocytosis","26/262","194/6818",1.89902272476187e-08,1.2021976514717e-06,1.07985244950476e-06,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/CCL2/IGKC/TYROBP/SFTPA1/ANXA1/RACK1/IGHV3-23/RAC1/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/SNX3/IGHD/IGHV3-64D",26
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","22/262","143/6818",1.981800680534e-08,1.22950914220329e-06,1.10438450555231e-06,"COX2/ND5/GAPDH/PGK1/NDUFS5/ENO1/ND2/ND4L/ATP6/LDHA/ND3/ND4/H19/NDUFA1/TPI1/TMSB4X/ND6/ND1/ATP8/ATP5F1B/ATP1B1/NDUFB7",22
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","8/262","15/6818",2.17881572054553e-08,1.32523262061416e-06,1.19036640088421e-06,"B2M/HLA-DRA/HLA-B/HLA-A/HLA-C/HLA-DRB1/TAPBP/HLA-E",8
"GO:0019730","GO:0019730","antimicrobial humoral response","16/262","78/6818",2.89629620190727e-08,1.72366265758883e-06,1.54824902597226e-06,"GAPDH/WFDC2/IGHA1/HLA-A/FGA/LGALS4/PGC/LYZ/CXCL14/FAU/ROMO1/S100A9/BPIFA1/HLA-E/PRSS2/IGKV3-20",16
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","13/262","50/6818",2.94500711967144e-08,1.72366265758883e-06,1.54824902597226e-06,"ND5/NDUFS5/ND2/ND4L/ATP6/ND3/ND4/NDUFA1/ND6/ND1/ATP8/ATP5F1B/NDUFB7",13
